Sample description: 
Sample:   c= 3.0500 mg/ml  Code: BSA_pI_buffer
Parent(s): analysis/processed/averaged/BSA_pI_buffer_0013_sample.dat analysis/processed/averaged/BSA_pI_buffer_0013_buffer.dat
  5.252500e-02  -4.791700e+05   3.327786e+03
  5.528470e-02  -3.737255e+05   2.950471e+03
  5.804430e-02  -2.755479e+05   2.568371e+03
  6.080390e-02  -2.203259e+05   2.318919e+03
  6.356360e-02  -1.655626e+05   2.066024e+03
  6.632320e-02  -1.380498e+05   1.974612e+03
  6.908280e-02  -1.028212e+05   1.775741e+03
  7.184250e-02  -8.183793e+04   1.642178e+03
  7.460210e-02  -6.085866e+04   1.589816e+03
  7.736170e-02  -4.513457e+04   1.466794e+03
  8.012140e-02  -3.217146e+04   1.433888e+03
  8.288100e-02  -1.986196e+04   1.400374e+03
  8.564060e-02  -1.197135e+04   1.372420e+03
  8.840030e-02  -7.160570e+03   1.342064e+03
  9.115990e-02  -2.580910e+03   1.249051e+03
  9.391950e-02   3.601780e+03   1.269412e+03
  9.667920e-02   9.999250e+03   1.257068e+03
  9.943880e-02   1.240422e+04   1.201307e+03
  1.021980e-01   1.424996e+04   1.185173e+03
  1.049580e-01   1.779745e+04   1.134202e+03
  1.077180e-01   1.859699e+04   1.141929e+03
  1.104770e-01   2.157310e+04   1.121010e+03
  1.132370e-01   2.188417e+04   1.060750e+03
  1.159970e-01   2.369857e+04   1.071848e+03
  1.187560e-01   2.560400e+04   1.030298e+03
  1.215160e-01   2.682103e+04   1.032560e+03
  1.242750e-01   2.856637e+04   1.048134e+03
  1.270350e-01   2.940381e+04   9.819186e+02
  1.297950e-01   2.900821e+04   1.003564e+03
  1.325540e-01   3.194866e+04   9.767265e+02
  1.353140e-01   3.099501e+04   9.699135e+02
  1.380740e-01   3.069822e+04   9.414306e+02
  1.408330e-01   3.173596e+04   9.243696e+02
  1.435930e-01   3.117419e+04   9.228686e+02
  1.463530e-01   3.117381e+04   8.980478e+02
  1.491120e-01   3.359266e+04   9.322599e+02
  1.518720e-01   3.165104e+04   8.856494e+02
  1.546310e-01   3.216810e+04   8.770593e+02
  1.573910e-01   3.295667e+04   8.717879e+02
  1.601510e-01   3.251739e+04   8.479657e+02
  1.629100e-01   3.431365e+04   8.689888e+02
  1.656700e-01   3.342711e+04   8.381283e+02
  1.684300e-01   3.265867e+04   8.293561e+02
  1.711890e-01   3.272369e+04   8.262239e+02
  1.739490e-01   3.560949e+04   8.227112e+02
  1.767080e-01   3.342076e+04   8.143332e+02
  1.794680e-01   3.382117e+04   7.938027e+02
  1.822280e-01   3.357497e+04   8.038681e+02
  1.849870e-01   3.337541e+04   7.734682e+02
  1.877470e-01   3.467587e+04   7.857388e+02
  1.905070e-01   3.317304e+04   7.747710e+02
  1.932660e-01   3.383438e+04   7.596274e+02
  1.960260e-01   3.348595e+04   7.671171e+02
  1.987860e-01   3.194715e+04   7.249708e+02
  2.015450e-01   3.436338e+04   7.567158e+02
  2.043050e-01   3.319810e+04   7.346956e+02
  2.070640e-01   3.287469e+04   7.246914e+02
  2.098240e-01   3.346999e+04   7.348167e+02
  2.125840e-01   3.500607e+04   7.290664e+02
  2.153430e-01   3.303852e+04   7.218328e+02
  2.181030e-01   3.378933e+04   7.160885e+02
  2.208630e-01   3.344138e+04   6.966292e+02
  2.236220e-01   3.184231e+04   6.963954e+02
  2.263820e-01   3.350977e+04   6.935506e+02
  2.291410e-01   3.353271e+04   7.000527e+02
  2.319010e-01   3.263431e+04   6.725400e+02
  2.346610e-01   3.270259e+04   6.741292e+02
  2.374200e-01   3.165879e+04   6.737524e+02
  2.401800e-01   3.251229e+04   6.662133e+02
  2.429400e-01   3.343946e+04   6.742578e+02
  2.456990e-01   3.166220e+04   6.480133e+02
  2.484590e-01   3.188733e+04   6.517413e+02
  2.512190e-01   3.205370e+04   6.524648e+02
  2.539780e-01   3.174443e+04   6.355823e+02
  2.567380e-01   3.090018e+04   6.391166e+02
  2.594970e-01   3.159817e+04   6.311854e+02
  2.622570e-01   3.192342e+04   6.406555e+02
  2.650170e-01   3.241938e+04   6.331917e+02
  2.677760e-01   3.016883e+04   6.062855e+02
  2.705360e-01   3.082598e+04   6.193377e+02
  2.732960e-01   3.058289e+04   6.080417e+02
  2.760550e-01   3.148907e+04   6.196833e+02
  2.788150e-01   3.089841e+04   5.976126e+02
  2.815740e-01   3.028794e+04   6.013583e+02
  2.843340e-01   2.955918e+04   5.921928e+02
  2.870940e-01   3.022248e+04   5.908533e+02
  2.898530e-01   3.034764e+04   5.890878e+02
  2.926130e-01   2.949274e+04   5.736793e+02
  2.953730e-01   3.049611e+04   5.899427e+02
  2.981320e-01   2.931039e+04   5.751923e+02
  3.008920e-01   3.043377e+04   5.768808e+02
  3.036520e-01   2.873058e+04   5.619170e+02
  3.064110e-01   2.926201e+04   5.631452e+02
  3.091710e-01   2.817843e+04   5.608154e+02
  3.119300e-01   2.896828e+04   5.576254e+02
  3.146900e-01   2.924171e+04   5.578018e+02
  3.174500e-01   2.772189e+04   5.465424e+02
