Sample description: 
Sample:   c= 14.3167 mg/ml  Code: BSA_pI_buffer
Parent(s): C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0004_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0007_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0010_sub.dat  
 3.478060e-001  1.928169e+005  9.198450e+002
 3.505650e-001  1.923749e+005  9.238573e+002
 3.533250e-001  1.891915e+005  9.035443e+002
 3.560850e-001  1.890766e+005  9.133732e+002
 3.588440e-001  1.882966e+005  8.938857e+002
 3.616040e-001  1.862339e+005  8.897447e+002
 3.643630e-001  1.861922e+005  8.946349e+002
 3.671230e-001  1.846337e+005  8.840318e+002
 3.698830e-001  1.818772e+005  8.809257e+002
 3.726420e-001  1.826852e+005  8.612245e+002
 3.754020e-001  1.797917e+005  8.686334e+002
 3.781620e-001  1.822948e+005  8.629865e+002
 3.809210e-001  1.786867e+005  8.533616e+002
 3.836810e-001  1.781706e+005  8.502808e+002
 3.864410e-001  1.764682e+005  8.373156e+002
 3.892000e-001  1.735395e+005  8.418849e+002
 3.919600e-001  1.741985e+005  8.285269e+002
 3.947190e-001  1.720671e+005  8.232971e+002
 3.974790e-001  1.728723e+005  8.243625e+002
 4.002390e-001  1.699591e+005  8.133728e+002
 4.029980e-001  1.699844e+005  8.206206e+002
 4.057580e-001  1.677877e+005  7.996248e+002
 4.085180e-001  1.679862e+005  8.031241e+002
 4.112770e-001  1.658809e+005  7.950995e+002
 4.140370e-001  1.660714e+005  7.925746e+002
 4.167960e-001  1.634798e+005  7.934665e+002
 4.195560e-001  1.634028e+005  7.735049e+002
 4.223160e-001  1.604175e+005  7.784989e+002
 4.250750e-001  1.614918e+005  7.700812e+002
 4.278350e-001  1.575821e+005  7.618622e+002
 4.305950e-001  1.578722e+005  7.661936e+002
 4.333540e-001  1.562227e+005  7.544366e+002
 4.361140e-001  1.554239e+005  7.619260e+002
 4.388740e-001  1.562118e+005  7.497188e+002
 4.416330e-001  1.537242e+005  7.394308e+002
 4.443930e-001  1.520214e+005  7.376463e+002
 4.471520e-001  1.521435e+005  7.315962e+002
 4.499120e-001  1.498932e+005  7.326586e+002
 4.526720e-001  1.487343e+005  7.160162e+002
 4.554310e-001  1.468568e+005  7.152801e+002
 4.581910e-001  1.462440e+005  7.117346e+002
 4.609510e-001  1.469053e+005  7.131935e+002
 4.637100e-001  1.446091e+005  7.074494e+002
 4.664700e-001  1.427417e+005  6.947249e+002
 4.692290e-001  1.404517e+005  7.160593e+002
 4.719890e-001  1.415862e+005  7.199656e+002
 4.747490e-001  1.398712e+005  7.306499e+002
 4.775080e-001  1.388560e+005  7.265751e+002
 4.802680e-001  1.370037e+005  7.282706e+002
 4.830280e-001  1.369944e+005  7.501188e+002
 4.857870e-001  1.349061e+005  7.461755e+002
 4.885470e-001  1.335429e+005  7.588353e+002
 4.913070e-001  1.338835e+005  7.655507e+002
 4.940660e-001  1.316450e+005  7.625882e+002
 4.968260e-001  1.311966e+005  7.745519e+002
 4.995850e-001  1.297302e+005  7.652434e+002
 5.023450e-001  1.297527e+005  7.772850e+002
 5.051050e-001  1.280896e+005  7.651008e+002
 5.078640e-001  1.281121e+005  7.702959e+002
 5.106240e-001  1.267398e+005  7.684854e+002
 5.133840e-001  1.247035e+005  7.439978e+002
 5.161430e-001  1.234746e+005  7.303511e+002
 5.189030e-001  1.218641e+005  6.981832e+002
 5.216620e-001  1.226158e+005  7.002625e+002
 5.244220e-001  1.204288e+005  6.877395e+002
 5.271820e-001  1.187721e+005  6.689876e+002
 5.299410e-001  1.198115e+005  6.746752e+002
 5.327010e-001  1.186097e+005  6.582085e+002
 5.354610e-001  1.165261e+005  6.567526e+002
 5.382200e-001  1.154322e+005  6.504090e+002
 5.409800e-001  1.151324e+005  6.393370e+002
 5.437400e-001  1.139287e+005  6.373627e+002
 5.464990e-001  1.126324e+005  6.290501e+002
 5.492590e-001  1.127393e+005  6.314288e+002
 5.520180e-001  1.108556e+005  6.194584e+002
 5.547780e-001  1.100625e+005  6.164315e+002
 5.575380e-001  1.091941e+005  6.113900e+002
 5.602970e-001  1.079833e+005  5.999393e+002
 5.630570e-001  1.071563e+005  6.032300e+002
 5.658170e-001  1.071057e+005  5.940591e+002
 5.685760e-001  1.054395e+005  5.939342e+002
 5.713360e-001  1.054640e+005  5.871801e+002
 5.740950e-001  1.036416e+005  5.844778e+002
 5.768550e-001  1.038239e+005  5.859996e+002
 5.796150e-001  1.027578e+005  5.738021e+002
 5.823740e-001  1.018927e+005  5.709419e+002
 5.851340e-001  1.001255e+005  5.629723e+002
 5.878940e-001  9.946829e+004  5.660425e+002
 5.906530e-001  9.850723e+004  5.613551e+002
 5.934130e-001  9.787817e+004  5.500390e+002
 5.961730e-001  9.635295e+004  5.537861e+002
 5.989320e-001  9.634051e+004  5.452551e+002
 6.016920e-001  9.463075e+004  5.446888e+002
 6.044510e-001  9.276030e+004  5.368617e+002
 6.072110e-001  9.286749e+004  5.281267e+002
 6.099710e-001  9.138558e+004  5.315130e+002
 6.127300e-001  9.154979e+004  5.252879e+002
 6.154900e-001  9.043008e+004  5.250069e+002
 6.182500e-001  8.958893e+004  5.182891e+002
 6.210090e-001  8.783070e+004  5.157022e+002
 6.237690e-001  8.805244e+004  5.145851e+002
 6.265280e-001  8.664690e+004  5.056112e+002
 6.292880e-001  8.748226e+004  5.087338e+002
 6.320480e-001  8.463000e+004  4.968613e+002
 6.348070e-001  8.422043e+004  5.013920e+002
 6.375670e-001  8.432201e+004  5.001713e+002
 6.403270e-001  8.440361e+004  4.933071e+002
 6.430860e-001  8.311469e+004  4.917850e+002
 6.458460e-001  8.187635e+004  4.848784e+002
 6.486060e-001  8.035459e+004  4.822715e+002
 6.513650e-001  8.064322e+004  4.796050e+002
 6.541250e-001  7.919246e+004  4.750624e+002
 6.568840e-001  7.900444e+004  4.758055e+002
 6.596440e-001  7.796905e+004  4.693098e+002
 6.624040e-001  7.731976e+004  4.700526e+002
 6.651630e-001  7.663685e+004  4.612622e+002
 6.679230e-001  7.541246e+004  4.625862e+002
 6.706830e-001  7.479097e+004  4.580362e+002
 6.734420e-001  7.400946e+004  4.542435e+002
 6.762020e-001  7.336031e+004  4.474211e+002
 6.789610e-001  7.240342e+004  4.450197e+002
 6.817210e-001  7.181267e+004  4.436174e+002
 6.844810e-001  7.156706e+004  4.426403e+002
 6.872400e-001  7.037607e+004  4.351688e+002
 6.900000e-001  6.926775e+004  4.344830e+002
 6.927600e-001  6.871730e+004  4.310480e+002
 6.955190e-001  6.856017e+004  4.301906e+002
 6.982790e-001  6.723918e+004  4.220740e+002
 7.010390e-001  6.642352e+004  4.193275e+002
 7.037980e-001  6.601520e+004  4.225391e+002
 7.065580e-001  6.572329e+004  4.198655e+002
 7.093170e-001  6.529986e+004  4.169741e+002
 7.120770e-001  6.423567e+004  4.129366e+002
 7.148370e-001  6.306232e+004  4.105749e+002
 7.175960e-001  6.303762e+004  4.087233e+002
 7.203560e-001  6.277341e+004  4.081064e+002
 7.231160e-001  6.140790e+004  4.021576e+002
 7.258750e-001  6.127143e+004  4.014284e+002
 7.286350e-001  6.027435e+004  3.986697e+002
 7.313940e-001  6.019985e+004  3.968432e+002
 7.341540e-001  5.920224e+004  3.920048e+002
 7.369140e-001  5.806823e+004  3.925797e+002
 7.396730e-001  5.725993e+004  3.863185e+002
 7.424330e-001  5.684377e+004  3.874195e+002
 7.451930e-001  5.680975e+004  3.803534e+002
 7.479520e-001  5.595815e+004  3.801367e+002
 7.507120e-001  5.548941e+004  3.803463e+002
 7.534720e-001  5.450500e+004  3.749360e+002
 7.562310e-001  5.442156e+004  3.768174e+002
 7.589910e-001  5.355683e+004  3.674696e+002
 7.617500e-001  5.307454e+004  3.691511e+002
 7.645100e-001  5.335412e+004  3.680357e+002
 7.672700e-001  5.122716e+004  3.628133e+002
 7.700290e-001  5.146218e+004  3.612927e+002
 7.727890e-001  5.073008e+004  3.581491e+002
 7.755490e-001  5.048113e+004  3.611830e+002
 7.783080e-001  4.978633e+004  3.533651e+002
 7.810680e-001  4.928256e+004  3.519684e+002
 7.838280e-001  4.931786e+004  3.516175e+002
 7.865870e-001  4.790343e+004  3.468327e+002
 7.893470e-001  4.763851e+004  3.505142e+002
 7.921060e-001  4.672589e+004  3.388222e+002
 7.948660e-001  4.703236e+004  3.434684e+002
 7.976260e-001  4.580436e+004  3.407943e+002
 8.003850e-001  4.600846e+004  3.377549e+002
 8.031450e-001  4.495920e+004  3.363496e+002
 8.059050e-001  4.438777e+004  3.295514e+002
 8.086640e-001  4.326574e+004  3.307232e+002
 8.114240e-001  4.388758e+004  3.289725e+002
 8.141830e-001  4.267565e+004  3.252018e+002
 8.169430e-001  4.254661e+004  3.252307e+002
 8.197030e-001  4.251828e+004  3.225596e+002
 8.224620e-001  4.163120e+004  3.233908e+002
 8.252220e-001  4.073396e+004  3.175656e+002
 8.279820e-001  4.078332e+004  3.157207e+002
 8.307410e-001  4.025681e+004  3.153167e+002
 8.335010e-001  3.951002e+004  3.105406e+002
 8.362610e-001  3.872043e+004  3.118109e+002
 8.390200e-001  3.850209e+004  3.051302e+002
 8.417800e-001  3.832401e+004  3.076977e+002
 8.445390e-001  3.772400e+004  3.055366e+002
 8.472990e-001  3.744801e+004  3.029984e+002
 8.500590e-001  3.682551e+004  3.000069e+002
 8.528180e-001  3.583292e+004  2.957045e+002
 8.555780e-001  3.568684e+004  2.973886e+002
 8.583380e-001  3.603464e+004  2.960501e+002
 8.610970e-001  3.555509e+004  2.963194e+002
 8.638570e-001  3.498793e+004  2.911139e+002
 8.666160e-001  3.512474e+004  2.919880e+002
 8.693760e-001  3.418620e+004  2.903340e+002
 8.721360e-001  3.358014e+004  2.871958e+002
 8.748950e-001  3.348530e+004  2.950739e+002
 8.776550e-001  3.200326e+004  2.896107e+002
 8.804150e-001  3.214601e+004  2.918373e+002
 8.831740e-001  3.181375e+004  2.929775e+002
