Sample description: 
Sample:   c= 24.5000 mg/ml  Code: BSA_pI_buffer
Parent(s): analysis/processed/averaged/BSA_pI_buffer_0004_sample.dat analysis/processed/averaged/BSA_pI_buffer_0004_buffer.dat
  2.492870e-02   2.524620e+05   1.911896e+04
  2.768840e-02   2.885350e+05   1.636805e+04
  3.044800e-02   3.094293e+05   1.275324e+04
  3.320760e-02   2.859412e+05   9.978001e+03
  3.596720e-02   2.919555e+05   7.942831e+03
  3.872690e-02   2.824194e+05   6.885455e+03
  4.148650e-02   2.930731e+05   6.096995e+03
  4.424610e-02   2.954420e+05   5.293657e+03
  4.700580e-02   2.918879e+05   4.655489e+03
  4.976540e-02   2.981018e+05   4.278597e+03
  5.252500e-02   2.979593e+05   4.023265e+03
  5.528470e-02   2.857144e+05   3.752618e+03
  5.804430e-02   2.934564e+05   3.518770e+03
  6.080390e-02   2.966172e+05   3.418977e+03
  6.356360e-02   2.873416e+05   3.155993e+03
  6.632320e-02   2.884890e+05   3.101298e+03
  6.908280e-02   2.870735e+05   2.978027e+03
  7.184250e-02   2.805944e+05   2.816137e+03
  7.460210e-02   2.848217e+05   2.839275e+03
  7.736170e-02   2.877039e+05   2.723535e+03
  8.012140e-02   2.888866e+05   2.736725e+03
  8.288100e-02   2.864405e+05   2.727243e+03
  8.564060e-02   2.862350e+05   2.736818e+03
  8.840030e-02   2.869840e+05   2.752189e+03
  9.115990e-02   2.847553e+05   2.630209e+03
  9.391950e-02   2.837502e+05   2.675954e+03
  9.667920e-02   2.814311e+05   2.643706e+03
  9.943880e-02   2.848452e+05   2.599576e+03
  1.021980e-01   2.864534e+05   2.602916e+03
  1.049580e-01   2.772863e+05   2.491743e+03
  1.077180e-01   2.793815e+05   2.547494e+03
  1.104770e-01   2.773752e+05   2.494450e+03
  1.132370e-01   2.824832e+05   2.436664e+03
  1.159970e-01   2.770001e+05   2.457079e+03
  1.187560e-01   2.763505e+05   2.358063e+03
  1.215160e-01   2.746452e+05   2.390747e+03
  1.242750e-01   2.773901e+05   2.401307e+03
  1.270350e-01   2.745785e+05   2.292414e+03
  1.297950e-01   2.746068e+05   2.358252e+03
  1.325540e-01   2.746432e+05   2.253432e+03
  1.353140e-01   2.748873e+05   2.291249e+03
  1.380740e-01   2.698930e+05   2.226611e+03
  1.408330e-01   2.731784e+05   2.203467e+03
  1.435930e-01   2.709643e+05   2.228643e+03
  1.463530e-01   2.712754e+05   2.178121e+03
  1.491120e-01   2.709206e+05   2.216530e+03
  1.518720e-01   2.688547e+05   2.150882e+03
  1.546310e-01   2.710053e+05   2.147347e+03
  1.573910e-01   2.693954e+05   2.124320e+03
  1.601510e-01   2.644760e+05   2.074778e+03
  1.629100e-01   2.646879e+05   2.094965e+03
  1.656700e-01   2.656254e+05   2.044487e+03
  1.684300e-01   2.601169e+05   2.028270e+03
  1.711890e-01   2.641310e+05   2.028793e+03
  1.739490e-01   2.683611e+05   1.986436e+03
  1.767080e-01   2.576289e+05   1.984834e+03
  1.794680e-01   2.596480e+05   1.945351e+03
  1.822280e-01   2.582075e+05   1.969378e+03
  1.849870e-01   2.557601e+05   1.890616e+03
  1.877470e-01   2.584070e+05   1.915609e+03
  1.905070e-01   2.533500e+05   1.904988e+03
  1.932660e-01   2.530233e+05   1.857106e+03
  1.960260e-01   2.527327e+05   1.886182e+03
  1.987860e-01   2.518418e+05   1.816412e+03
  2.015450e-01   2.501185e+05   1.838610e+03
  2.043050e-01   2.492841e+05   1.807274e+03
  2.070640e-01   2.503675e+05   1.793127e+03
  2.098240e-01   2.490540e+05   1.809327e+03
  2.125840e-01   2.459459e+05   1.757652e+03
  2.153430e-01   2.466968e+05   1.787278e+03
  2.181030e-01   2.438475e+05   1.746823e+03
  2.208630e-01   2.446379e+05   1.715068e+03
  2.236220e-01   2.443940e+05   1.742053e+03
  2.263820e-01   2.400857e+05   1.696058e+03
  2.291410e-01   2.405279e+05   1.713018e+03
  2.319010e-01   2.392028e+05   1.664065e+03
  2.346610e-01   2.402732e+05   1.664691e+03
  2.374200e-01   2.389803e+05   1.679960e+03
  2.401800e-01   2.374180e+05   1.640495e+03
  2.429400e-01   2.350994e+05   1.635532e+03
  2.456990e-01   2.335567e+05   1.606041e+03
  2.484590e-01   2.362119e+05   1.617997e+03
  2.512190e-01   2.332860e+05   1.607712e+03
  2.539780e-01   2.273953e+05   1.554743e+03
  2.567380e-01   2.279512e+05   1.579205e+03
  2.594970e-01   2.287171e+05   1.552206e+03
  2.622570e-01   2.296135e+05   1.571705e+03
  2.650170e-01   2.244266e+05   1.530306e+03
  2.677760e-01   2.256695e+05   1.516065e+03
  2.705360e-01   2.244968e+05   1.530943e+03
  2.732960e-01   2.241494e+05   1.502218e+03
  2.760550e-01   2.225695e+05   1.512616e+03
  2.788150e-01   2.215146e+05   1.474036e+03
  2.815740e-01   2.216536e+05   1.489162e+03
  2.843340e-01   2.202911e+05   1.478406e+03
  2.870940e-01   2.191097e+05   1.459836e+03
  2.898530e-01   2.158339e+05   1.440739e+03
  2.926130e-01   2.164492e+05   1.420743e+03
  2.953730e-01   2.162028e+05   1.443793e+03
  2.981320e-01   2.116491e+05   1.416904e+03
  3.008920e-01   2.100562e+05   1.394872e+03
  3.036520e-01   2.118102e+05   1.394481e+03
  3.064110e-01   2.092267e+05   1.382104e+03
  3.091710e-01   2.114118e+05   1.400515e+03
  3.119300e-01   2.080481e+05   1.367249e+03
  3.146900e-01   2.062106e+05   1.359667e+03
  3.174500e-01   2.039161e+05   1.350517e+03
  3.202090e-01   2.039978e+05   1.331535e+03
  3.229690e-01   2.018973e+05   1.342206e+03
  3.257290e-01   2.026090e+05   1.308544e+03
  3.284880e-01   1.994654e+05   1.322297e+03
  3.312480e-01   1.997728e+05   1.314956e+03
  3.340070e-01   1.978880e+05   1.292060e+03
  3.367670e-01   1.952424e+05   1.277429e+03
  3.395270e-01   1.971798e+05   1.269777e+03
  3.422860e-01   1.960196e+05   1.284564e+03
  3.450460e-01   1.938430e+05   1.266460e+03
  3.478060e-01   1.934322e+05   1.250378e+03
  3.505650e-01   1.926977e+05   1.255537e+03
  3.533250e-01   1.888340e+05   1.225801e+03
  3.560850e-01   1.892415e+05   1.239878e+03
  3.588440e-01   1.876247e+05   1.211824e+03
  3.616040e-01   1.857048e+05   1.205930e+03
  3.643630e-01   1.856971e+05   1.212817e+03
  3.671230e-01   1.848434e+05   1.199763e+03
  3.698830e-01   1.824002e+05   1.198162e+03
  3.726420e-01   1.820967e+05   1.166576e+03
  3.754020e-01   1.813601e+05   1.184003e+03
  3.781620e-01   1.820164e+05   1.170306e+03
  3.809210e-01   1.792912e+05   1.160140e+03
  3.836810e-01   1.773712e+05   1.150699e+03
  3.864410e-01   1.780688e+05   1.140177e+03
  3.892000e-01   1.732573e+05   1.141328e+03
  3.919600e-01   1.757435e+05   1.128219e+03
  3.947190e-01   1.726218e+05   1.118393e+03
  3.974790e-01   1.739886e+05   1.121377e+03
  4.002390e-01   1.696496e+05   1.100867e+03
  4.029980e-01   1.702288e+05   1.113284e+03
  4.057580e-01   1.692199e+05   1.088105e+03
  4.085180e-01   1.689982e+05   1.092120e+03
  4.112770e-01   1.668796e+05   1.080504e+03
  4.140370e-01   1.674592e+05   1.078468e+03
  4.167960e-01   1.633997e+05   1.075446e+03
  4.195560e-01   1.643768e+05   1.050495e+03
  4.223160e-01   1.628551e+05   1.062658e+03
  4.250750e-01   1.627705e+05   1.046175e+03
  4.278350e-01   1.585608e+05   1.034378e+03
  4.305950e-01   1.600670e+05   1.044422e+03
  4.333540e-01   1.570152e+05   1.023582e+03
  4.361140e-01   1.561231e+05   1.034032e+03
  4.388740e-01   1.568703e+05   1.017136e+03
  4.416330e-01   1.548795e+05   1.005150e+03
  4.443930e-01   1.529829e+05   1.000743e+03
  4.471520e-01   1.526151e+05   9.913074e+02
  4.499120e-01   1.520030e+05   9.977182e+02
  4.526720e-01   1.505958e+05   9.748687e+02
  4.554310e-01   1.484194e+05   9.726487e+02
  4.581910e-01   1.479890e+05   9.682014e+02
  4.609510e-01   1.465549e+05   9.641920e+02
  4.637100e-01   1.454181e+05   9.594419e+02
  4.664700e-01   1.436217e+05   9.417741e+02
  4.692290e-01   1.414403e+05   9.711508e+02
  4.719890e-01   1.426625e+05   9.762164e+02
  4.747490e-01   1.399933e+05   9.877349e+02
  4.775080e-01   1.406839e+05   9.880180e+02
  4.802680e-01   1.388066e+05   9.896153e+02
  4.830280e-01   1.378726e+05   1.016050e+03
  4.857870e-01   1.357380e+05   1.010633e+03
  4.885470e-01   1.338747e+05   1.025259e+03
  4.913070e-01   1.333675e+05   1.031574e+03
  4.940660e-01   1.326674e+05   1.033057e+03
  4.968260e-01   1.311297e+05   1.045470e+03
  4.995850e-01   1.303581e+05   1.035282e+03
  5.023450e-01   1.308103e+05   1.053390e+03
  5.051050e-01   1.294983e+05   1.038107e+03
  5.078640e-01   1.295586e+05   1.044566e+03
  5.106240e-01   1.289902e+05   1.045071e+03
  5.133840e-01   1.252870e+05   1.004771e+03
  5.161430e-01   1.239344e+05   9.859195e+02
  5.189030e-01   1.226252e+05   9.440091e+02
  5.216620e-01   1.234501e+05   9.472458e+02
  5.244220e-01   1.216359e+05   9.309160e+02
  5.271820e-01   1.196230e+05   9.039408e+02
  5.299410e-01   1.208586e+05   9.129035e+02
  5.327010e-01   1.199758e+05   8.912798e+02
  5.354610e-01   1.178959e+05   8.892010e+02
  5.382200e-01   1.171152e+05   8.809802e+02
  5.409800e-01   1.161684e+05   8.643102e+02
  5.437400e-01   1.149168e+05   8.614897e+02
  5.464990e-01   1.137929e+05   8.502063e+02
  5.492590e-01   1.135470e+05   8.518710e+02
  5.520180e-01   1.114863e+05   8.355375e+02
  5.547780e-01   1.111876e+05   8.328886e+02
  5.575380e-01   1.117646e+05   8.313461e+02
  5.602970e-01   1.091523e+05   8.109510e+02
  5.630570e-01   1.081911e+05   8.145375e+02
  5.658170e-01   1.083129e+05   8.030313e+02
  5.685760e-01   1.065325e+05   8.026102e+02
  5.713360e-01   1.069976e+05   7.945633e+02
  5.740950e-01   1.055823e+05   7.918503e+02
  5.768550e-01   1.043661e+05   7.889962e+02
  5.796150e-01   1.037995e+05   7.741495e+02
  5.823740e-01   1.029873e+05   7.705086e+02
  5.851340e-01   1.013698e+05   7.601046e+02
  5.878940e-01   1.009783e+05   7.650909e+02
  5.906530e-01   1.002883e+05   7.601707e+02
  5.934130e-01   9.803617e+04   7.379850e+02
  5.961730e-01   9.793323e+04   7.479916e+02
  5.989320e-01   9.774808e+04   7.362362e+02
  6.016920e-01   9.588406e+04   7.344814e+02
  6.044510e-01   9.452215e+04   7.251624e+02
  6.072110e-01   9.491447e+04   7.146497e+02
  6.099710e-01   9.335238e+04   7.187049e+02
  6.127300e-01   9.340383e+04   7.098319e+02
  6.154900e-01   9.201222e+04   7.085254e+02
  6.182500e-01   9.085035e+04   6.980450e+02
  6.210090e-01   8.951865e+04   6.955694e+02
  6.237690e-01   8.972082e+04   6.949063e+02
  6.265280e-01   8.864933e+04   6.830481e+02
  6.292880e-01   8.933612e+04   6.870406e+02
  6.320480e-01   8.625395e+04   6.697813e+02
  6.348070e-01   8.577388e+04   6.759908e+02
  6.375670e-01   8.626961e+04   6.748266e+02
  6.403270e-01   8.640306e+04   6.666148e+02
  6.430860e-01   8.470249e+04   6.622444e+02
  6.458460e-01   8.355757e+04   6.534711e+02
  6.486060e-01   8.157698e+04   6.479019e+02
  6.513650e-01   8.217369e+04   6.452158e+02
  6.541250e-01   8.106288e+04   6.406720e+02
  6.568840e-01   7.966343e+04   6.368668e+02
  6.596440e-01   7.902978e+04   6.292781e+02
  6.624040e-01   7.883784e+04   6.320620e+02
  6.651630e-01   7.815037e+04   6.201845e+02
  6.679230e-01   7.729996e+04   6.227243e+02
  6.706830e-01   7.678932e+04   6.171297e+02
  6.734420e-01   7.504201e+04   6.083232e+02
  6.762020e-01   7.402358e+04   5.976866e+02
  6.789610e-01   7.322046e+04   5.949260e+02
  6.817210e-01   7.317709e+04   5.946383e+02
  6.844810e-01   7.283913e+04   5.930548e+02
  6.872400e-01   7.289690e+04   5.875441e+02
  6.900000e-01   7.156448e+04   5.864294e+02
  6.927600e-01   6.987203e+04   5.764724e+02
  6.955190e-01   7.050828e+04   5.784221e+02
  6.982790e-01   6.896873e+04   5.670475e+02
  7.010390e-01   6.735997e+04   5.591770e+02
  7.037980e-01   6.710346e+04   5.645632e+02
  7.065580e-01   6.695320e+04   5.612720e+02
