Sample description: 
Sample:   c= 12.3000 mg/ml  Code: BSA_pI_buffer
Parent(s): analysis/processed/averaged/BSA_pI_buffer_0007_sample.dat analysis/processed/averaged/BSA_pI_buffer_0007_buffer.dat
  3.643630e-01   9.859812e+04   8.992673e+02
  3.671230e-01   9.658733e+04   8.840472e+02
  3.698830e-01   9.723437e+04   8.907997e+02
  3.726420e-01   9.659249e+04   8.649695e+02
  3.754020e-01   9.458587e+04   8.709662e+02
  3.781620e-01   9.576694e+04   8.640463e+02
  3.809210e-01   9.465001e+04   8.585736e+02
  3.836810e-01   9.340948e+04   8.499591e+02
  3.864410e-01   9.139199e+04   8.321563e+02
  3.892000e-01   9.220347e+04   8.476587e+02
  3.919600e-01   9.055855e+04   8.255925e+02
  3.947190e-01   9.031400e+04   8.240472e+02
  3.974790e-01   9.035956e+04   8.232636e+02
  4.002390e-01   8.954170e+04   8.150650e+02
  4.029980e-01   9.040720e+04   8.263793e+02
  4.057580e-01   8.749590e+04   7.984581e+02
  4.085180e-01   8.785550e+04   8.025546e+02
  4.112770e-01   8.658939e+04   7.938259e+02
  4.140370e-01   8.662018e+04   7.909647e+02
  4.167960e-01   8.690733e+04   7.993334e+02
  4.195560e-01   8.553411e+04   7.726627e+02
  4.223160e-01   8.317439e+04   7.744579e+02
  4.250750e-01   8.402878e+04   7.675089e+02
  4.278350e-01   8.234703e+04   7.608140e+02
  4.305950e-01   8.194760e+04   7.626535e+02
  4.333540e-01   8.126725e+04   7.517419e+02
  4.361140e-01   8.129177e+04   7.611019e+02
  4.388740e-01   8.225254e+04   7.515916e+02
  4.416330e-01   8.099276e+04   7.413027e+02
  4.443930e-01   7.994671e+04   7.386181e+02
  4.471520e-01   7.924368e+04   7.292339e+02
  4.499120e-01   7.789808e+04   7.294193e+02
  4.526720e-01   7.712221e+04   7.128445e+02
  4.554310e-01   7.694117e+04   7.149194e+02
  4.581910e-01   7.653000e+04   7.115195e+02
  4.609510e-01   7.844020e+04   7.193706e+02
  4.637100e-01   7.636424e+04   7.102999e+02
  4.664700e-01   7.397115e+04   6.909239e+02
  4.692290e-01   7.368321e+04   7.162329e+02
  4.719890e-01   7.354195e+04   7.166540e+02
  4.747490e-01   7.414344e+04   7.340726e+02
  4.775080e-01   7.170938e+04   7.215186e+02
  4.802680e-01   7.067353e+04   7.225402e+02
  4.830280e-01   7.214015e+04   7.516094e+02
  4.857870e-01   7.077121e+04   7.466346e+02
  4.885470e-01   7.038793e+04   7.603245e+02
  4.913070e-01   7.120351e+04   7.708052e+02
  4.940660e-01   6.857663e+04   7.599779e+02
  4.968260e-01   7.011656e+04   7.811036e+02
  4.995850e-01   6.811048e+04   7.655381e+02
  5.023450e-01   6.824615e+04   7.782919e+02
  5.051050e-01   6.749966e+04   7.666105e+02
  5.078640e-01   6.652716e+04   7.664110e+02
  5.106240e-01   6.550018e+04   7.627075e+02
  5.133840e-01   6.500509e+04   7.412489e+02
  5.161430e-01   6.539165e+04   7.332027e+02
  5.189030e-01   6.457357e+04   7.013299e+02
  5.216620e-01   6.502010e+04   7.039385e+02
  5.244220e-01   6.221754e+04   6.820442e+02
  5.271820e-01   6.255386e+04   6.698472e+02
  5.299410e-01   6.260186e+04   6.736909e+02
  5.327010e-01   6.206336e+04   6.572779e+02
  5.354610e-01   6.098189e+04   6.560762e+02
  5.382200e-01   5.913671e+04   6.429070e+02
  5.409800e-01   5.995607e+04   6.371142e+02
  5.437400e-01   5.995431e+04   6.380192e+02
  5.464990e-01   5.855288e+04   6.260656e+02
  5.492590e-01   5.820961e+04   6.263249e+02
  5.520180e-01   5.822214e+04   6.193388e+02
  5.547780e-01   5.644995e+04   6.093050e+02
  5.575380e-01   5.698414e+04   6.102264e+02
  5.602970e-01   5.682447e+04   6.007755e+02
  5.630570e-01   5.633143e+04   6.037744e+02
  5.658170e-01   5.603380e+04   5.929229e+02
  5.685760e-01   5.590907e+04   5.971348e+02
  5.713360e-01   5.527523e+04   5.868980e+02
  5.740950e-01   5.345664e+04   5.796172e+02
  5.768550e-01   5.433930e+04   5.846815e+02
  5.796150e-01   5.422710e+04   5.749630e+02
  5.823740e-01   5.378844e+04   5.725366e+02
  5.851340e-01   5.265378e+04   5.630769e+02
  5.878940e-01   5.221956e+04   5.659514e+02
  5.906530e-01   5.179935e+04   5.616016e+02
  5.934130e-01   5.160500e+04   5.506061e+02
  5.961730e-01   5.038361e+04   5.524636e+02
  5.989320e-01   5.029917e+04   5.432161e+02
  6.016920e-01   4.926980e+04   5.420471e+02
  6.044510e-01   4.720617e+04   5.293184e+02
  6.072110e-01   4.791608e+04   5.242748e+02
  6.099710e-01   4.779060e+04   5.301511e+02
  6.127300e-01   4.730019e+04   5.214401e+02
  6.154900e-01   4.742022e+04   5.248052e+02
  6.182500e-01   4.709900e+04   5.176326e+02
  6.210090e-01   4.553771e+04   5.120653e+02
  6.237690e-01   4.619608e+04   5.143139e+02
  6.265280e-01   4.504142e+04   5.029837e+02
  6.292880e-01   4.500334e+04   5.039824e+02
  6.320480e-01   4.362206e+04   4.923042e+02
  6.348070e-01   4.304014e+04   4.952842e+02
  6.375670e-01   4.281271e+04   4.923701e+02
  6.403270e-01   4.404870e+04   4.915318e+02
  6.430860e-01   4.258016e+04   4.857030e+02
  6.458460e-01   4.233988e+04   4.812696e+02
  6.486060e-01   4.161250e+04   4.786973e+02
  6.513650e-01   4.123256e+04   4.734368e+02
  6.541250e-01   4.118451e+04   4.721308e+02
  6.568840e-01   4.093295e+04   4.725308e+02
  6.596440e-01   4.069309e+04   4.674657e+02
  6.624040e-01   3.973484e+04   4.649220e+02
  6.651630e-01   3.900785e+04   4.543143e+02
  6.679230e-01   3.851706e+04   4.559021e+02
  6.706830e-01   3.852332e+04   4.533219e+02
  6.734420e-01   3.874208e+04   4.525598e+02
  6.762020e-01   3.827095e+04   4.452355e+02
  6.789610e-01   3.850649e+04   4.468524e+02
  6.817210e-01   3.728128e+04   4.405284e+02
  6.844810e-01   3.674533e+04   4.374170e+02
  6.872400e-01   3.544447e+04   4.270141e+02
  6.900000e-01   3.574783e+04   4.308970e+02
  6.927600e-01   3.515813e+04   4.252740e+02
  6.955190e-01   3.575142e+04   4.280866e+02
  6.982790e-01   3.520015e+04   4.210033e+02
  7.010390e-01   3.473428e+04   4.176654e+02
  7.037980e-01   3.473719e+04   4.222882e+02
  7.065580e-01   3.383157e+04   4.152913e+02
  7.093170e-01   3.355856e+04   4.119553e+02
  7.120770e-01   3.262076e+04   4.059117e+02
  7.148370e-01   3.284864e+04   4.080878e+02
  7.175960e-01   3.288291e+04   4.068611e+02
  7.203560e-01   3.263799e+04   4.053873e+02
  7.231160e-01   3.199046e+04   3.999773e+02
  7.258750e-01   3.138985e+04   3.965279e+02
  7.286350e-01   3.198967e+04   3.998310e+02
  7.313940e-01   3.093219e+04   3.923290e+02
  7.341540e-01   3.076696e+04   3.892674e+02
  7.369140e-01   2.996116e+04   3.888229e+02
  7.396730e-01   3.007667e+04   3.850511e+02
  7.424330e-01   2.951346e+04   3.844975e+02
  7.451930e-01   2.927653e+04   3.762188e+02
  7.479520e-01   2.866985e+04   3.749936e+02
  7.507120e-01   2.881639e+04   3.776542e+02
  7.534720e-01   2.898277e+04   3.759027e+02
  7.562310e-01   2.829163e+04   3.745107e+02
  7.589910e-01   2.735141e+04   3.618081e+02
  7.617500e-01   2.786343e+04   3.684367e+02
  7.645100e-01   2.743520e+04   3.639044e+02
  7.672700e-01   2.662086e+04   3.599101e+02
  7.700290e-01   2.622186e+04   3.561141e+02
  7.727890e-01   2.628184e+04   3.549983e+02
  7.755490e-01   2.536917e+04   3.532576e+02
  7.783080e-01   2.555910e+04   3.494460e+02
  7.810680e-01   2.554860e+04   3.489314e+02
  7.838280e-01   2.545940e+04   3.482164e+02
  7.865870e-01   2.501109e+04   3.445537e+02
  7.893470e-01   2.460167e+04   3.471444e+02
  7.921060e-01   2.422586e+04   3.359445e+02
  7.948660e-01   2.419769e+04   3.395796e+02
  7.976260e-01   2.354859e+04   3.363039e+02
  8.003850e-01   2.446711e+04   3.382048e+02
  8.031450e-01   2.333106e+04   3.331946e+02
  8.059050e-01   2.297860e+04   3.263344e+02
  8.086640e-01   2.236834e+04   3.272897e+02
  8.114240e-01   2.303803e+04   3.274226e+02
  8.141830e-01   2.210153e+04   3.219088e+02
  8.169430e-01   2.222099e+04   3.231310e+02
  8.197030e-01   2.176115e+04   3.178047e+02
  8.224620e-01   2.147980e+04   3.198049e+02
  8.252220e-01   2.108271e+04   3.143982e+02
  8.279820e-01   2.119233e+04   3.130242e+02
  8.307410e-01   2.072723e+04   3.112616e+02
  8.335010e-01   2.019383e+04   3.057158e+02
  8.362610e-01   1.981853e+04   3.073395e+02
  8.390200e-01   1.988503e+04   3.017605e+02
  8.417800e-01   2.032910e+04   3.074612e+02
  8.445390e-01   1.934579e+04   3.007749e+02
  8.472990e-01   1.938964e+04   2.995513e+02
  8.500590e-01   1.934846e+04   2.984649e+02
  8.528180e-01   1.849761e+04   2.919275e+02
  8.555780e-01   1.818347e+04   2.920601e+02
  8.583380e-01   1.824550e+04   2.904117e+02
  8.610970e-01   1.859225e+04   2.945856e+02
  8.638570e-01   1.775300e+04   2.852513e+02
  8.666160e-01   1.756455e+04   2.847101e+02
  8.693760e-01   1.760121e+04   2.857231e+02
  8.721360e-01   1.725209e+04   2.828518e+02
  8.748950e-01   1.714550e+04   2.899282e+02
  8.776550e-01   1.655796e+04   2.857239e+02
  8.804150e-01   1.647288e+04   2.873429e+02
  8.831740e-01   1.650231e+04   2.896093e+02
  8.859340e-01   1.632392e+04   2.840270e+02
  8.886940e-01   1.599585e+04   2.868006e+02
  8.914530e-01   1.543601e+04   2.788578e+02
  8.942130e-01   1.597607e+04   2.787526e+02
  8.969720e-01   1.533324e+04   2.717778e+02
  8.997320e-01   1.574878e+04   2.709990e+02
  9.024920e-01   1.554716e+04   2.729462e+02
  9.052510e-01   1.493885e+04   2.653061e+02
  9.080110e-01   1.489313e+04   2.657980e+02
  9.107710e-01   1.506102e+04   2.662871e+02
  9.135300e-01   1.465590e+04   2.621963e+02
  9.162900e-01   1.439007e+04   2.612402e+02
  9.190490e-01   1.434720e+04   2.571406e+02
  9.218090e-01   1.368417e+04   2.548437e+02
  9.245690e-01   1.360431e+04   2.529058e+02
  9.273280e-01   1.354383e+04   2.531718e+02
  9.300880e-01   1.344140e+04   2.523445e+02
  9.328480e-01   1.350628e+04   2.490000e+02
