Sample description: 
Sample:   c= 6.1500 mg/ml  Code: BSA_pI_buffer
Parent(s): analysis/processed/averaged/BSA_pI_buffer_0010_sample.dat analysis/processed/averaged/BSA_pI_buffer_0010_buffer.dat
  2.492870e-02   3.648900e+04   1.648188e+04
  2.768840e-02   6.652600e+04   1.397078e+04
  3.044800e-02   5.679700e+04   1.079080e+04
  3.320760e-02   7.639880e+04   8.220287e+03
  3.596720e-02   7.145960e+04   6.355750e+03
  3.872690e-02   7.940300e+04   5.352351e+03
  4.148650e-02   7.112500e+04   4.435873e+03
  4.424610e-02   7.140770e+04   3.650496e+03
  4.700580e-02   7.916620e+04   3.124753e+03
  4.976540e-02   7.626410e+04   2.677667e+03
  5.252500e-02   8.197210e+04   2.438878e+03
  5.528470e-02   8.360474e+04   2.229998e+03
  5.804430e-02   8.219091e+04   2.001844e+03
  6.080390e-02   8.031761e+04   1.867929e+03
  6.356360e-02   8.143488e+04   1.716915e+03
  6.632320e-02   8.142113e+04   1.641158e+03
  6.908280e-02   7.977776e+04   1.543417e+03
  7.184250e-02   8.112971e+04   1.459279e+03
  7.460210e-02   7.941575e+04   1.433142e+03
  7.736170e-02   7.758234e+04   1.341610e+03
  8.012140e-02   7.950219e+04   1.336874e+03
  8.288100e-02   8.195712e+04   1.340822e+03
  8.564060e-02   8.168070e+04   1.334340e+03
  8.840030e-02   7.981244e+04   1.320006e+03
  9.115990e-02   7.987520e+04   1.258022e+03
  9.391950e-02   7.939494e+04   1.270750e+03
  9.667920e-02   7.633247e+04   1.231299e+03
  9.943880e-02   7.787993e+04   1.211236e+03
  1.021980e-01   7.853151e+04   1.208108e+03
  1.049580e-01   7.818269e+04   1.168739e+03
  1.077180e-01   7.559467e+04   1.170476e+03
  1.104770e-01   7.652930e+04   1.154003e+03
  1.132370e-01   7.665111e+04   1.110915e+03
  1.159970e-01   7.750555e+04   1.133737e+03
  1.187560e-01   7.603913e+04   1.079224e+03
  1.215160e-01   7.697085e+04   1.101072e+03
  1.242750e-01   7.512607e+04   1.088470e+03
  1.270350e-01   7.340631e+04   1.029686e+03
  1.297950e-01   7.520886e+04   1.068448e+03
  1.325540e-01   7.521197e+04   1.020081e+03
  1.353140e-01   7.242322e+04   1.019285e+03
